"number","short_description","close_notes"
"INC0630966","DE - Digital - CCUI - We cannot see any address details which are required for DPA Check in CCUI on this booking GCA7299422","Issue Summary :  We cannot see any address details which are required for DPA Check in CCUI on this booking GCA7299422.

Solution Provided : The issue is caused by the address object being missing in the update reservation API call. The development team has already been informed and is working on it under ticket CTECH-6215. As a workaround, we updated booking GCA7299422 with the company address as confirmed by the caller over Teams chat, and the address is now visible in the DPA check-in modal. Further updates will be provided as part of CTECH-6215. The caller has also confirmed closure of the incident, and the incident is therefore resolved

Related tickets : INC0570406/ CTECH-6215"
"INC0630952","UK | FOLBRI | Digital - Business  - unable to view booking","User now able to view booking"
"INC0630859","Guest tried to book 13-16 Apr at HAMWIK, Standard Rate incl. breakfast 369,08 Eu","Resolved due to no response"
"INC0630247","Guest is unable to reset the passwort for his ""My PI account"". He tries to use t","Resolved due to no response"
"INC0629613","Digital - CCUI -unable to cxl Reservation ","Resolved due to no response"
"INC0622356","INC0622356 |   Norwich Nelson City Centre [Premier Inn] | AVNP01 | Kiosk - PED - guest checked in on kiosk and paid at kiosk but departure shows a balance outst","Resolved due to no response"
"INC0621292","Fw: [ROOMEX-PREMIERINN] Meal deal wasn't authorized","Resolved due to no response"
"INC0620805","CCUI not able to add a room to existing reservationi made a reservation with c","Resolved due to no response"
"INC0527794","[CTECH-3046] Unusual Increase in Outgoing Traffic from Distribution Cluster","Fixes completed and accepted by SRE"
"INC0525146","DE - BERWIL- Opera - Laut HM Phil Teschner sollten wir bei Problemen mit HRS Raten einen Ticket eröff","As the ticket is now almost 9 months old, the required system logs are no longer available, making any further technical validation not possible. Additionally, due to the ownership mismatch and the absence of historical data, this issue cannot be investigated further at this stage.

Based on the above, the ticket is being closed. If the issue reoccurs, please raise a new ticket with the latest booking reference number, and we will review it accordingly."
"INC0475489","[DNRQ-85302] Kiosk - Upsels failing for specific Reservations","As this was fixed and tested. We are closing this incident. "
"INC0470517","[DNRQ-85308] Kiosk - Getting Invalid Session Id at Checkin stage","Issue Summary : Kiosk - Getting Invalid Session Id at Checkin stage

Solution Provided :  Upon reviewing the requests, we can confirm that the issue is not on our side. It appears to originate from Evoke, where they attempt to trigger the CompleteCheckIn request a second time after a successful check-in. There is already a problem ticket (PRB0040612) created for this issue, with parent incident INC0485437.Therefore no further investigation is required on this and hence we are resolving the incident.

Related Tickets : PRB0040612/ INC0485437"
"INC0468456","[DNRQ-85986] - Kiosk - Nationality is getting added as D in Opera","This was released in production under CHG0043823. And this is working as expected post deployment. Hence closing this Incident. "
"INC0468289","[DNRQ-85298] Kiosk - This reservation is being changed by user WHBOC001-AWS-MS-SA_CRED-A@IWHBOC00","As we are not seeing these kind of errors, We are closing this incident. If we get any issues on this in future, then we'll open a new incident and we'll work on a solution. "
